t:19.720000000000283 fi:1.0046440705395567 vz:2.3678465247566045 wy:0.7790272010876464 ngpu:2511.7985644444243 k2:3352 k1:3352
t:19.680000000000277 fi:1.000490158316304 vz:2.3793447625055615 wy:0.7854701979312502 ngpu:2538.9812926701966 k2:3364 k1:3364
t:19.790000000000294 fi:1.0044768262518566 vz:2.3396900837161354 wy:0.766207023376116 ngpu:2473.151933938615 k2:3328 k1:3328
t:19.71000000000028 fi:1.0058937791916702 vz:2.3733882296803777 wy:0.7812424254631275 ngpu:2517.415569472932 k2:3356 k1:3356
t:19.750000000000288 fi:1.0008001522688126 vz:2.351248619866876 wy:0.7724421424379392 ngpu:2495.9048044635783 k2:3340 k1:3340
t:19.910000000000313 fi:1.004950549763425 vz:2.2945325375588728 wy:0.7458828825808672 ngpu:2421.2501964733565 k2:3288 k1:3288
t:19.930000000000316 fi:1.0018176866816693 vz:2.283610299915267 wy:0.7418462812727735 ngpu:2415.3816778051387 k2:3280 k1:3280
t:19.840000000000302 fi:1.0064496220337882 vz:2.3225841247713164 wy:0.757982882778283 ngpu:2448.7622091685907 k2:3312 k1:3312
t:19.920000000000314 fi:1.0033906039528258 vz:2.289067267976667 wy:0.743859283844308 ngpu:2418.268469656974 k2:3284 k1:3284
t:19.96000000000032 fi:1.0060120451669565 vz:2.2775208017431288 wy:0.7381655818721996 ngpu:2403.7983934632784 k2:3272 k1:3272
t:19.8200000000003 fi:1.000295326513159 vz:2.3231552545640044 wy:0.7598203854008029 ngpu:2460.3169482510875 k2:3316 k1:3316
t:19.970000000000322 fi:1.0043812787357616 vz:2.272081722804053 wy:0.736189717593477 ngpu:2401.2969264943013 k2:3268 k1:3268
t:19.940000000000317 fi:1.000231945244488 vz:2.278161743068829 wy:0.7398438419800676 ngpu:2412.5868787856243 k2:3276 k1:3276
t:19.870000000000307 fi:1.0020336983586755 vz:2.3060993660265514 wy:0.7517371946190448 ngpu:2437.8340413887718 k2:3300 k1:3300
t:19.850000000000303 fi:1.0049915782832286 vz:2.3170819036724133 wy:0.7558903544759369 ngpu:2445.0044691452194 k2:3308 k1:3308
t:19.780000000000292 fi:1.0058411449147049 vz:2.3452140951615696 wy:0.7683568890979865 ngpu:2477.6977263826957 k2:3332 k1:3332
t:19.990000000000325 fi:1.0010830351536886 vz:2.261230336594498 wy:0.7322693713600985 ngpu:2396.5355799334075 k2:3260 k1:3260
t:19.860000000000305 fi:1.0035195527558807 vz:2.311586932035897 wy:0.7538084597066143 ngpu:2441.362847514236 k2:3304 k1:3304
t:19.90000000000031 fi:1.0064973757918612 vz:2.300005992484298 wy:0.7479171065578845 ngpu:2424.3298522289015 k2:3292 k1:3292
